Periodo,Categoria,01. Centro,02. Arganzuela,03. Retiro,04. Salamanca,05. Chamart’n,06. Tetu‡n,07. Chamber’,08. Fuencarral-El Pardo,09. Moncloa-Aravaca,10. Latina,11. Carabanchel,12. Usera,13. Puente de Vallecas,14. Moratalaz,15. Ciudad Lineal,16. Hortaleza,17. Villaverde,18. Villa de Vallecas,19. Vic‡lvaro,20. San Blas-Canillejas,21. Barajas
2018,Total,359,1010,505,1443,1528,2248,899,4327,913,1966,4232,2223,2926,26,1967,3455,2934,3295,917,1853,919
2018,Espa–ola,-631,706,140,361,1085,744,438,2804,740,-506,697,-36,-184,-367,190,2332,575,2368,562,209,725
2018,Extranjera,991,305,366,1082,442,1501,461,1523,177,2469,3533,2257,3110,393,1774,1125,2360,925,354,1644,194
2019,Total,2533,917,338,886,887,2024,1072,3088,1566,2449,4856,2497,4243,297,1761,4360,3284,2783,1174,1967,1151
2019,Espa–ola,806,171,-523,-308,247,119,71,1456,704,-675,20,-118,-415,-616,-670,2346,527,1355,556,-151,760
2019,Extranjera,1728,744,861,1194,641,1906,1000,1632,859,3125,4836,2616,4658,914,2435,2014,2755,1423,618,2117,392
2020,Total,5677,1912,1186,1827,1808,3497,1483,3996,2375,4022,7321,3456,6248,1089,3737,5139,5638,4189,1941,3070,1088
2020,Espa–ola,2362,824,209,-229,727,1050,169,1935,1187,-230,1117,53,574,-171,561,3001,1797,2220,1046,282,649
2020,Extranjera,3314,1088,977,2056,1081,2448,1314,2061,1189,4250,6203,3403,5671,1260,3176,2138,3842,1966,892,2785,439
2021,Total,622,-1877,-2284,-2217,-2185,-2101,-2743,-2921,-1161,-2632,-2297,-844,-2578,-2048,-3620,-609,-25,-77,1399,-1379,-71
2021,Espa–ola,-2015,-2147,-2364,-2916,-2415,-2241,-3048,-2783,-1441,-3706,-3386,-1600,-3875,-1975,-3879,-965,-911,-692,970,-2024,-152
2021,Extranjera,2637,266,79,700,234,141,304,-137,281,1079,1090,756,1299,-72,259,356,887,619,429,647,78
2022,Total,-1430,-1272,-617,-247,-1184,-2034,-925,-856,-257,-2511,-2538,-1301,-2752,-1200,-2365,573,-585,353,3808,-1002,129
2022,Espa–ola,-1947,-930,-713,-868,-938,-1322,-1071,-211,94,-1543,-1316,-133,-1541,-1079,-1719,241,-177,55,3285,-922,214
2022,Extranjera,519,-338,96,622,-247,-713,146,-645,-351,-966,-1219,-1170,-1209,-121,-646,332,-405,298,527,-77,-84